Date,Change_bp,Description
2019-09-12,0,Hold (QE relancé)
2020-03-12,0,Hold (PEPP annoncé)
2020-06-04,0,Hold (PEPP étendu)
2021-12-16,0,Hold (PEPP recalibré)
2022-07-21,50,Hike +50 bp (fin taux négatifs)
2022-09-08,75,Hike +75 bp
2022-10-27,75,Hike +75 bp
2022-12-15,50,Hike +50 bp
2023-02-02,50,Hike +50 bp
2023-03-16,50,Hike +50 bp
2023-05-04,25,Hike +25 bp
2023-06-15,25,Hike +25 bp
2023-07-27,25,Hike +25 bp
2023-09-14,25,Hike +25 bp (dernier du cycle)
2024-06-06,-25,Cut -25 bp (1er du cycle baissier)
2024-09-12,-25,Cut -25 bp
2024-10-17,-25,Cut -25 bp
2024-12-12,-25,Cut -25 bp
