"Date","Price","Open","High","Low","Change %"
"12/31/2024","3.521","3.526","3.526","3.521","-0.31%"
"12/30/2024","3.532","3.534","3.548","3.516","-0.14%"
"12/27/2024","3.537","3.529","3.582","3.514","1.20%"
"12/24/2024","3.495","3.502","3.502","3.495","-0.20%"
"12/23/2024","3.502","3.500","3.505","3.461","1.51%"
"12/20/2024","3.450","3.476","3.495","3.443","-0.66%"
"12/19/2024","3.473","3.479","3.492","3.453","1.88%"
"12/18/2024","3.409","3.398","3.419","3.395","0.65%"
"12/17/2024","3.387","3.418","3.427","3.371","-0.35%"
"12/16/2024","3.399","3.380","3.404","3.372","0.30%"
"12/13/2024","3.389","3.325","3.391","3.324","1.56%"
"12/12/2024","3.337","3.239","3.337","3.218","4.41%"
"12/11/2024","3.196","3.197","3.219","3.162","-0.34%"
"12/10/2024","3.207","3.224","3.235","3.186","0.38%"
"12/09/2024","3.195","3.174","3.204","3.166","0.03%"
"12/06/2024","3.194","3.204","3.211","3.171","-0.31%"
"12/05/2024","3.204","3.213","3.223","3.177","-0.34%"
"12/04/2024","3.215","3.267","3.276","3.207","-0.80%"
"12/03/2024","3.241","3.262","3.273","3.236","-0.58%"
"12/02/2024","3.260","3.284","3.284","3.223","-0.46%"
"11/29/2024","3.275","3.337","3.339","3.275","-2.06%"
"11/28/2024","3.344","3.392","3.409","3.340","-1.76%"
"11/27/2024","3.404","3.434","3.462","3.400","-1.65%"
"11/26/2024","3.461","3.485","3.492","3.440","-0.52%"
"11/25/2024","3.479","3.496","3.533","3.452","-0.74%"
"11/22/2024","3.505","3.578","3.588","3.487","-1.99%"
"11/21/2024","3.576","3.607","3.616","3.551","0.03%"
"11/20/2024","3.575","3.572","3.615","3.564","0.59%"
"11/19/2024","3.554","3.535","3.584","3.500","-0.53%"
"11/18/2024","3.573","3.555","3.636","3.555","0.48%"
"11/15/2024","3.556","3.564","3.578","3.521","0.25%"
"11/14/2024","3.547","3.640","3.649","3.546","-2.12%"
"11/13/2024","3.624","3.677","3.683","3.607","-0.33%"
"11/12/2024","3.636","3.619","3.638","3.570","1.20%"
"11/11/2024","3.593","3.621","3.641","3.587","-1.86%"
"11/08/2024","3.661","3.682","3.703","3.650","-2.03%"
"11/07/2024","3.737","3.631","3.842","3.619","-0.03%"
"11/06/2024","3.738","3.631","3.755","3.619","1.80%"
"11/05/2024","3.672","3.684","3.717","3.655","0.11%"
"11/04/2024","3.668","3.670","3.693","3.652","-0.49%"
"11/01/2024","3.686","3.677","3.704","3.639","0.55%"
"10/31/2024","3.666","3.684","3.730","3.649","1.05%"
"10/30/2024","3.628","3.544","3.639","3.519","1.77%"
"10/29/2024","3.565","3.492","3.566","3.492","1.97%"
"10/28/2024","3.496","3.553","3.553","3.470","-0.43%"
"10/25/2024","3.511","3.476","3.512","3.465","1.18%"
"10/24/2024","3.470","3.491","3.496","3.453","-1.53%"
"10/23/2024","3.524","3.549","3.549","3.521","-0.84%"
"10/22/2024","3.554","3.543","3.569","3.516","1.22%"
"10/21/2024","3.511","3.378","3.517","3.378","4.49%"
"10/18/2024","3.360","3.427","3.428","3.352","-1.32%"
"10/17/2024","3.405","3.424","3.434","3.382","-0.15%"
"10/16/2024","3.410","3.441","3.453","3.405","-1.59%"
"10/15/2024","3.465","3.503","3.510","3.462","-2.34%"
"10/14/2024","3.548","3.540","3.562","3.533","-0.34%"
"10/11/2024","3.560","3.539","3.609","3.539","0.76%"
"10/10/2024","3.533","3.582","3.584","3.531","-0.76%"
"10/09/2024","3.560","3.539","3.571","3.539","0.17%"
"10/08/2024","3.554","3.571","3.587","3.552","-0.39%"
"10/07/2024","3.568","3.530","3.575","3.524","1.54%"
"10/04/2024","3.514","3.494","3.545","3.483","1.04%"
"10/03/2024","3.478","3.445","3.493","3.444","1.49%"
"10/02/2024","3.427","3.384","3.453","3.384","1.48%"
"10/01/2024","3.377","3.439","3.439","3.338","-2.54%"
"09/30/2024","3.465","3.469","3.511","3.442","0.23%"
"09/27/2024","3.457","3.454","3.479","3.418","-0.77%"
"09/26/2024","3.484","3.509","3.514","3.432","-1.53%"
"09/25/2024","3.538","3.482","3.543","3.470","1.67%"
"09/24/2024","3.480","3.503","3.549","3.476","-1.08%"
"09/23/2024","3.518","3.548","3.557","3.514","-1.18%"
"09/20/2024","3.560","3.546","3.582","3.535","0.14%"
"09/19/2024","3.555","3.570","3.587","3.550","-0.50%"
"09/18/2024","3.573","3.512","3.581","3.508","2.09%"
"09/17/2024","3.500","3.464","3.507","3.441","0.63%"
"09/16/2024","3.478","3.509","3.523","3.476","-1.02%"
"09/13/2024","3.514","3.514","3.536","3.506","-0.79%"
"09/12/2024","3.542","3.543","3.556","3.509","2.25%"
"09/11/2024","3.464","3.488","3.509","3.450","-1.42%"
"09/10/2024","3.514","3.559","3.571","3.514","-0.96%"
"09/09/2024","3.548","3.593","3.613","3.544","-0.22%"
"09/06/2024","3.556","3.548","3.572","3.506","-0.31%"
"09/05/2024","3.567","3.575","3.604","3.544","-0.50%"
"09/04/2024","3.585","3.653","3.660","3.573","-2.45%"
"09/03/2024","3.675","3.703","3.729","3.654","-0.81%"
"09/02/2024","3.705","3.732","3.743","3.697","0.38%"
"08/30/2024","3.691","3.663","3.697","3.633","0.96%"
"08/29/2024","3.656","3.654","3.669","3.598","0.16%"
"08/28/2024","3.650","3.650","3.655","3.608","-0.38%"
"08/27/2024","3.664","3.614","3.686","3.614","1.86%"
"08/26/2024","3.597","3.561","3.617","3.561","0.81%"
"08/23/2024","3.568","3.605","3.618","3.557","-1.30%"
"08/22/2024","3.615","3.570","3.617","3.547","1.40%"
"08/21/2024","3.565","3.602","3.604","3.562","-0.81%"
"08/20/2024","3.594","3.619","3.627","3.591","-0.83%"
"08/19/2024","3.624","3.620","3.638","3.587","-0.47%"
"08/16/2024","3.641","3.616","3.647","3.594","0.05%"
"08/15/2024","3.639","3.555","3.643","3.550","2.02%"
"08/14/2024","3.567","3.568","3.601","3.562","-0.25%"
"08/13/2024","3.576","3.639","3.644","3.568","-1.81%"
"08/12/2024","3.642","3.662","3.665","3.639","-0.05%"
"08/09/2024","3.644","3.675","3.676","3.634","-1.49%"
"08/08/2024","3.699","3.691","3.708","3.672","-0.24%"
"08/07/2024","3.708","3.665","3.727","3.662","1.39%"
"08/06/2024","3.657","3.677","3.692","3.626","-0.76%"
"08/05/2024","3.685","3.628","3.685","3.608","1.60%"
"08/02/2024","3.627","3.663","3.666","3.601","-0.49%"
"08/01/2024","3.645","3.648","3.681","3.628","-0.22%"
"07/31/2024","3.653","3.684","3.691","3.649","-1.35%"
"07/30/2024","3.703","3.703","3.724","3.687","-0.16%"
"07/29/2024","3.709","3.743","3.751","3.685","-1.41%"
"07/26/2024","3.762","3.814","3.842","3.753","-0.40%"
"07/25/2024","3.777","3.803","3.821","3.768","-0.55%"
"07/24/2024","3.798","3.771","3.808","3.758","1.25%"
"07/23/2024","3.751","3.792","3.795","3.743","-0.69%"
"07/22/2024","3.777","3.764","3.777","3.738","-0.05%"
"07/19/2024","3.779","3.728","3.780","3.722","1.61%"
"07/18/2024","3.719","3.711","3.738","3.689","0.13%"
"07/17/2024","3.714","3.697","3.739","3.686","0.16%"
"07/16/2024","3.708","3.734","3.738","3.706","-1.07%"
"07/15/2024","3.748","3.806","3.806","3.747","-1.19%"
"07/12/2024","3.793","3.808","3.832","3.771","0.08%"
"07/11/2024","3.790","3.859","3.880","3.773","-1.89%"
"07/10/2024","3.863","3.902","3.904","3.845","-2.30%"
"07/09/2024","3.954","3.910","3.961","3.900","1.62%"
"07/08/2024","3.891","3.967","3.967","3.881","-1.27%"
"07/05/2024","3.941","3.977","3.979","3.925","-1.55%"
"07/04/2024","4.003","4.002","4.016","3.997","0.28%"
"07/03/2024","3.992","4.029","4.053","3.970","-1.84%"
"07/02/2024","4.067","4.097","4.142","4.044","-1.09%"
"07/01/2024","4.112","4.037","4.110","4.037","1.11%"
"06/28/2024","4.067","4.011","4.093","4.009","0.92%"
"06/27/2024","4.030","3.999","4.044","3.999","0.88%"
"06/26/2024","3.995","3.920","3.997","3.920","1.68%"
"06/25/2024","3.929","3.912","3.958","3.895","-0.15%"
"06/24/2024","3.935","3.929","3.935","3.899","-0.23%"
"06/21/2024","3.944","3.912","3.950","3.874","0.00%"
"06/20/2024","3.944","3.980","3.982","3.927","0.03%"
"06/19/2024","3.943","3.885","3.954","3.878","1.47%"
"06/18/2024","3.886","3.914","3.947","3.865","-1.57%"
"06/17/2024","3.948","3.898","3.957","3.878","0.59%"
"06/14/2024","3.925","3.950","3.974","3.906","-0.66%"
"06/13/2024","3.951","3.957","3.992","3.913","0.74%"
"06/12/2024","3.922","4.043","4.066","3.918","-3.59%"
"06/11/2024","4.068","4.057","4.181","4.057","-0.29%"
"06/10/2024","4.080","4.013","4.097","4.008","2.77%"
"06/07/2024","3.970","3.880","3.985","3.876","2.74%"
"06/06/2024","3.864","3.815","3.899","3.808","1.44%"
"06/05/2024","3.809","3.880","3.884","3.804","-1.30%"
"06/04/2024","3.859","3.899","3.896","3.826","-0.72%"
"06/03/2024","3.887","3.947","3.968","3.866","-2.19%"
"05/31/2024","3.974","3.954","4.006","3.937","0.30%"
"05/30/2024","3.962","4.004","4.005","3.955","-1.34%"
"05/29/2024","4.016","3.935","4.017","3.907","2.95%"
"05/28/2024","3.901","3.839","3.906","3.831","1.77%"
"05/27/2024","3.833","3.888","3.905","3.820","-1.59%"
"05/24/2024","3.895","3.888","3.927","3.872","0.05%"
"05/23/2024","3.893","3.820","3.910","3.794","1.57%"
"05/22/2024","3.833","3.847","3.870","3.814","0.82%"
"05/21/2024","3.802","3.813","3.831","3.784","-0.37%"
"05/20/2024","3.816","3.827","3.829","3.799","0.08%"
"05/17/2024","3.813","3.764","3.815","3.760","1.60%"
"05/16/2024","3.753","3.719","3.757","3.713","0.48%"
"05/15/2024","3.735","3.855","3.855","3.730","-4.16%"
"05/14/2024","3.897","3.861","3.912","3.835","1.01%"
"05/13/2024","3.858","3.835","3.862","3.821","0.00%"
"05/10/2024","3.858","3.794","3.859","3.782","0.60%"
"05/09/2024","3.835","3.824","3.864","3.806","0.87%"
"05/08/2024","3.802","3.791","3.819","3.774","1.20%"
"05/07/2024","3.757","3.782","3.805","3.750","-1.18%"
"05/06/2024","3.802","3.763","3.807","3.740","-0.47%"
